Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same Week Last Year,Date
Indiana,18,0,2019,January,1,1,4578,-28.20%,1/5/2019
Indiana,18,0,2019,January,1,2,4835,-11.00%,1/12/2019
Indiana,18,0,2019,January,1,3,3840,11.00%,1/19/2019
Indiana,18,0,2019,January,1,4,3467,3.30%,1/26/2019
Indiana,18,0,2019,February,2,5,3317,15.00%,2/2/2019
Indiana,18,0,2019,February,2,6,3462,24.00%,2/9/2019
Indiana,18,0,2019,February,2,7,2441,-6.80%,2/16/2019
Indiana,18,0,2019,February,2,8,2367,8.90%,2/23/2019
Indiana,18,0,2019,March,3,9,2423,0.60%,3/2/2019
Indiana,18,0,2019,March,3,10,2845,33.20%,3/9/2019
Indiana,18,0,2019,March,3,11,2088,-0.40%,3/16/2019
Indiana,18,0,2019,March,3,12,2069,-3.40%,3/23/2019
Indiana,18,0,2019,March,3,13,2033,0.70%,3/30/2019
Indiana,18,0,2019,April,4,14,3038,13.80%,4/6/2019
Indiana,18,0,2019,April,4,15,2370,-6.50%,4/13/2019
Indiana,18,0,2019,April,4,16,2719,37.30%,4/20/2019
Indiana,18,0,2019,April,4,17,2200,12.90%,4/27/2019
Indiana,18,0,2019,May,5,18,2086,-1.90%,5/4/2019
Indiana,18,0,2019,May,5,19,2049,-6.30%,5/11/2019
Indiana,18,0,2019,May,5,20,2009,-2.40%,5/18/2019
Indiana,18,0,2019,May,5,21,1905,-6.40%,5/25/2019
Indiana,18,0,2019,June,6,22,2101,6.80%,6/1/2019
Indiana,18,0,2019,June,6,23,2821,25.80%,6/8/2019
Indiana,18,0,2019,June,6,24,2120,-6.10%,6/15/2019
Indiana,18,0,2019,June,6,25,1960,-22.70%,6/22/2019
Indiana,18,0,2019,June,6,26,2225,2.50%,6/29/2019
Indiana,18,0,2019,July,7,27,2090,-16.80%,7/6/2019
Indiana,18,0,2019,July,7,28,3527,53.80%,7/13/2019
Indiana,18,0,2019,July,7,29,2283,17.30%,7/20/2019
Indiana,18,0,2019,July,7,30,2051,-0.10%,7/27/2019
Indiana,18,0,2019,August,8,31,2129,6.60%,8/3/2019
Indiana,18,0,2019,August,8,32,2518,26.50%,8/10/2019
Indiana,18,0,2019,August,8,33,2043,-0.30%,8/17/2019
Indiana,18,0,2019,August,8,34,1989,1.50%,8/24/2019
Indiana,18,0,2019,August,8,35,1979,-32.90%,8/31/2019
Indiana,18,0,2019,September,9,36,1986,-7.20%,9/7/2019
Indiana,18,0,2019,September,9,37,2001,0.70%,9/14/2019
Indiana,18,0,2019,September,9,38,2797,39.20%,9/21/2019
Indiana,18,0,2019,September,9,39,2319,29.60%,9/28/2019
Indiana,18,0,2019,October,10,40,2672,39.00%,10/5/2019
Indiana,18,0,2019,October,10,41,2749,28.80%,10/12/2019
Indiana,18,0,2019,October,10,42,2116,-5.30%,10/19/2019
Indiana,18,0,2019,October,10,43,2138,-14.50%,10/26/2019
Indiana,18,0,2019,November,11,44,2381,-30.70%,11/2/2019
Indiana,18,0,2019,November,11,45,3064,5.60%,11/9/2019
Indiana,18,0,2019,November,11,46,2725,-2.40%,11/16/2019
Indiana,18,0,2019,November,11,47,3053,5.40%,11/23/2019
Indiana,18,0,2019,November,11,48,2312,-41.90%,11/30/2019
Indiana,18,0,2019,December,12,49,4033,19.40%,12/7/2019
Indiana,18,0,2019,December,12,50,3411,0.90%,12/14/2019
Indiana,18,0,2019,December,12,51,3911,-12.20%,12/21/2019
Indiana,18,0,2019,December,12,52,3418,-19.20%,12/28/2019
Indiana,18,0,2020,January,1,1,4434,-3.10%,1/4/2020
Indiana,18,0,2020,January,1,2,4890,1.10%,1/11/2020
Indiana,18,0,2020,January,1,3,3741,-2.60%,1/18/2020
Indiana,18,0,2020,January,1,4,2956,-14.70%,1/25/2020
Indiana,18,0,2020,February,2,5,3016,-9.10%,2/1/2020
Indiana,18,0,2020,February,2,6,2725,-21.30%,2/8/2020
Indiana,18,0,2020,February,2,7,2556,4.70%,2/15/2020
Indiana,18,0,2020,February,2,8,2979,25.90%,2/22/2020
Indiana,18,0,2020,February,2,9,2276,-6.10%,2/29/2020
Indiana,18,0,2020,March,3,10,2223,-21.90%,3/7/2020
Indiana,18,0,2020,March,3,11,2596,24.30%,3/14/2020
Indiana,18,0,2020,March,3,12,59755,2788.10%,3/21/2020
Indiana,18,0,2020,March,3,13,139174,6745.70%,3/28/2020
Indiana,18,0,2020,April,4,14,127010,4080.70%,4/4/2020
Indiana,18,0,2020,April,4,15,113755,4699.80%,4/11/2020
Indiana,18,0,2020,April,4,16,72756,2575.80%,4/18/2020
Indiana,18,0,2020,April,4,17,55774,2435.20%,4/25/2020
Indiana,18,0,2020,May,5,18,42290,1927.30%,5/2/2020
Indiana,18,0,2020,May,5,19,29668,1347.90%,5/9/2020
Indiana,18,0,2020,May,5,20,29436,1365.20%,5/16/2020
Indiana,18,0,2020,May,5,21,25523,1239.80%,5/23/2020
Indiana,18,0,2020,May,5,22,22914,990.60%,5/30/2020
Indiana,18,0,2020,June,6,23,22931,712.90%,6/6/2020
Indiana,18,0,2020,June,6,24,24017,1032.90%,6/13/2020
Indiana,18,0,2020,June,6,25,31885,1526.80%,6/20/2020
Indiana,18,0,2020,June,6,26,44827,1914.70%,6/27/2020
Indiana,18,0,2020,July,7,27,22102,957.50%,7/4/2020
Indiana,18,0,2020,July,7,28,28360,704.10%,7/11/2020
Indiana,18,0,2020,July,7,29,17938,685.70%,7/18/2020
